frame_number,person_center_x,person_center_y,person_velocity,person_intersection,vehicle_center_x,vehicle_center_y,vehicle_velocity,vehicle_intersection
34.0,596.67566,766.2973,5.179938,120,815.2826,744.45654,37.151993,4
36.0,589.5,774.875,6.5233784,278,809.1,774.6,35.305305,185
37.0,587.087,762.1957,12.906893,283,815.413,757.5,18.228104,278
38.0,581.5,778.75,17.471687,263,819.7826,753.13043,6.179502,360
39.0,576.0,766.575,13.359653,120,817.2143,766.0,13.123336,448
40.0,570.8182,754.36365,13.265321,228,833.375,752.875,20.819078,654
41.0,563.4545,768.2727,15.738017,303,833.2174,756.5217,3.6501322,808
42.0,562.35,768.9,1.2702627,387,828.11536,751.1539,7.40573,913
43.0,563.7907,777.6279,8.846019,222,842.81635,771.61224,25.192541,1192
44.0,555.05554,793.7222,18.312008,279,854.43475,752.5217,22.348047,1627
45.0,544.59186,788.0816,11.887192,423,844.34045,782.8723,31.985199,1883
46.0,548.3538,785.5846,4.515243,376,861.1132,781.1321,16.862803,2321
47.0,542.5909,781.0455,7.335879,321,864.2045,769.0909,12.431679,2833
48.0,540.94446,787.5,6.661205,364,863.5,785.6,16.52412,3538
50.0,539.8461,785.61536,17.072569,189,881.12726,780.0,11.323224,4569
51.0,536.88464,784.2692,3.253071,372,882.3333,772.5714,7.5258555,5388
52.0,529.7778,764.6667,20.851072,296,890.7222,800.3889,29.054905,6020
53.0,524.4545,767.36365,5.967454,143,895.01886,791.77356,9.627326,6599
54.0,514.9355,781.1613,16.762691,350,889.59375,788.2969,6.4435353,7375
55.0,510.5122,782.561,4.639444,306,902.53845,802.9385,19.543331,8003
56.0,506.57144,779.8571,4.779171,287,914.75,802.25,12.23094,9213
57.0,512.6842,772.8158,9.324487,287,919.9091,803.86365,5.4055862,9473
58.0,517.2727,777.7273,6.721396,242,930.16364,808.14545,11.112557,10480
59.0,496.93332,792.13336,24.924393,217,909.5625,818.2031,22.925175,11369
61.0,496.17392,811.1739,13.921087,236,931.28,795.2,16.63985,12400
62.0,488.10938,786.0469,26.389462,178,959.8714,815.7857,35.231197,12661
63.0,494.21738,800.86957,16.03184,169,939.97754,823.382,21.294827,13231
64.0,487.09616,783.86536,18.435154,145,971.0625,850.2375,41.079082,13131
65.0,489.10715,798.1071,14.3830385,145,962.0,835.0833,17.657234,13696
66.0,490.725,804.075,6.1833034,139,978.59155,844.5211,19.088001,13562
78.0,1297.1538,745.1539,13.593193,6,1098.3364,897.4486,30.812061,14943
97.0,1277.1,748.125,11.005851,5,1437.4067,914.38983,3.0919762,423
98.0,1276.1842,746.6053,1.7743081,5,1488.919,941.86487,58.38138,34
107.0,1286.25,737.625,11.288995,5,867.4138,738.5172,7.829147,17
108.0,1283.3438,732.0,6.331423,5,888.0492,740.36066,20.717554,74
110.0,1283.6342,736.90247,1.1910696,5,920.15625,736.96875,21.614885,206
111.0,1282.3572,745.7857,8.974554,5,912.25,741.0,8.87467,514
112.0,1277.3773,741.9623,6.2783413,5,928.74194,751.74194,19.681807,690
113.0,1270.5454,747.63635,8.880883,1,937.22034,752.28815,8.49597,948
114.0,1271.8286,743.1429,4.6731014,1,945.0,751.8214,7.793651,1555
